pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
KSTP/SurveyUSA,2018/10/29,2018/10/31,600,LV,34,57,,2018,minnesota
Star Tribune/Mason-Dixon*,2018/10/15,2018/10/17,800,LV,33,56,,2018,minnesota
NBC News/Marist,2018/09/30,2018/10/04,637,LV,33,63,,2018,minnesota
Star Tribune/Mason-Dixon,2018/09/10,2018/09/12,800,LV,30,60,,2018,minnesota
KSTP/SurveyUSA,2018/09/06,2018/09/08,574,LV,38,53,,2018,minnesota
Suffolk*,2018/08/17,2018/08/20,500,LV,34,54,,2018,minnesota
Emerson,2018/08/08,2018/08/11,500,LV,26,50,,2018,minnesota
Salt Lake Tribune,2018/10/03,2018/10/09,607,RV,59,23,,2018,utah
UtahPolicy/Dan Jones*,2018/08/22,2018/08/31,809,LV,55,29,,2018,utah
Salt Lake Tribune/Dan Jones,2018/06/11,2018/06/18,654,RV,58,20,,2018,utah
UtahPolicy/Dan Jones*,2018/02/09,2018/02/16,609,RV,60,14,,2018,utah
Salt Lake Tribune/Dan Jones,2018/01/15,2018/01/18,803,RV,64,19,,2018,utah
UtahPolicy/Dan Jones,2017/08/30,2017/09/05,608,RV,64,26,,2018,utah
Trafalgar Group (R),2018/11/04,2018/11/05,1217,LV,47,45,,2018,arizona
ABC 15/OH Predictive Insights*,2018/11/02,2018/11/03,631,LV,49,48,,2018,arizona
HarrisX,2018/10/29,2018/11/04,1400,LV,48,45,,2018,arizona
Emerson*,2018/11/01,2018/11/03,758,LV,48,49,,2018,arizona
Gravis,2018/10/24,2018/11/02,1165,LV,47,46,,2018,arizona
FOX News,2018/10/27,2018/10/29,643,LV,46,46,,2018,arizona
HarrisX,2018/10/28,2018/11/03,1400,LV,49,43,,2018,arizona
Trafalgar Group (R),2018/10/30,2018/11/01,2166,LV,47,50,,2018,arizona
CNN,2018/10/24,2018/10/29,702,LV,47,51,,2018,arizona
NBC News/Marist,2018/10/23,2018/10/27,506,LV,44,50,,2018,arizona
CBS News/YouGov,2018/10/23,2018/10/26,972,LV,44,47,,2018,arizona
ABC 15/OH Predictive Insights*,2018/10/22,2018/10/23,600,LV,52,45,,2018,arizona
NY Times/Siena,2018/10/15,2018/10/19,606,LV,48,46,,2018,arizona
CBS News/YouGov,2018/10/02,2018/10/05,898,LV,44,47,,2018,arizona
ABC 15/OH Predictive Insights,2018/10/01,2018/10/02,600,LV,47,41,,2018,arizona
FOX News,2018/09/29,2018/10/02,716,LV,45,47,,2018,arizona
Suffolk*,2018/09/27,2018/09/30,500,LV,42,45,,2018,arizona
Emerson*,2018/09/19,2018/09/21,650,RV,39,45,,2018,arizona
NBC News/Marist,2018/09/16,2018/09/20,564,LV,45,48,,2018,arizona
CNN,2018/09/11,2018/09/15,761,LV,43,50,,2018,arizona
FOX News,2018/09/08,2018/09/11,710,LV,44,47,,2018,arizona
ABC 15/OH Predictive Insights,2018/09/05,2018/09/06,597,LV,49,46,,2018,arizona
Gravis,2018/09/05,2018/09/07,882,LV,49,48,,2018,arizona
ABC 15/OH Predictive Insights,2018/07/23,2018/07/25,600,LV,44,48,,2018,arizona
Gravis,2018/06/27,2018/07/02,925,LV,39,43,,2018,arizona
Emerson,2018/06/21,2018/06/22,650,RV,32,40,,2018,arizona
NBC News/Marist,2018/06/17,2018/06/21,839,RV,38,49,,2018,arizona
CBS News/YouGov,2018/06/19,2018/06/22,869,LV,37,45,,2018,arizona
