pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
PPP (D),2012/11/03,2012/11/04,955,LV,46,51,,2012,florida
TBT/Herald/Mason-Dixon,2012/10/30,2012/11/01,800,LV,43,49,,2012,florida
NBC/WSJ/Marist,2012/10/30,2012/11/01,1545,LV,43,52,,2012,florida
Gravis Marketing,2012/10/30,2012/10/30,549,LV,46,49,,2012,florida
SurveyUSA,2012/10/25,2012/10/27,595,LV,41,49,,2012,florida
PPP (D),2012/10/26,2012/10/28,687,LV,42,50,,2012,florida
CBS/NYT/Quinnipiac,2012/10/23,2012/10/28,1073,LV,39,52,,2012,florida
Rasmussen Reports,2012/10/25,2012/10/25,750,LV,46,49,,2012,florida
Sunshine State News/VSS,2012/10/22,2012/10/24,1001,LV,44,49,,2012,florida
Rasmussen Reports,2012/10/18,2012/10/18,750,LV,43,48,,2012,florida
PPP (D),2012/10/17,2012/10/18,800,LV,41,45,,2012,florida
SurveyUSA,2012/10/17,2012/10/18,600,LV,40,48,,2012,florida
PPP (D),2012/10/12,2012/10/14,791,LV,37,45,,2012,florida
Rasmussen Reports,2012/10/11,2012/10/11,750,LV,45,46,,2012,florida
TBT/Herald/Mason-Dixon,2012/10/08,2012/10/10,800,LV,42,47,,2012,florida
NBC/WSJ/Marist,2012/10/07,2012/10/09,988,LV,39,52,,2012,florida
UNF,2012/10/01,2012/10/09,683,LV,40,50,,2012,florida
Rasmussen Reports,2012/10/04,2012/10/04,500,LV,41,52,,2012,florida
WeAskAmerica,2012/10/04,2012/10/04,1200,LV,44,44,,2012,florida
NBC/WSJ/Marist,2012/09/30,2012/10/01,890,LV,41,52,,2012,florida
Gravis Marketing,2012/09/29,2012/09/30,914,LV,43,43,,2012,florida
Suffolk/WSVN*,2012/09/27,2012/09/30,600,LV,34,40,,2012,florida
PPP (D),2012/09/20,2012/09/23,861,LV,37,46,,2012,florida
Washington Post,2012/09/19,2012/09/23,769,LV,40,54,,2012,florida
CBS/NYT/Quinnipiac,2012/09/18,2012/09/24,1196,LV,39,53,,2012,florida
TBT/Herald/Mason-Dixon,2012/09/17,2012/09/19,800,LV,40,48,,2012,florida
WeAskAmerica,2012/09/18,2012/09/18,1230,LV,42,47,,2012,florida
FOX News,2012/09/16,2012/09/18,829,LV,35,49,,2012,florida
Gravis Marketing,2012/09/15,2012/09/16,1728,LV,43,42,,2012,florida
Rasmussen Reports,2012/09/12,2012/09/12,500,LV,40,47,,2012,florida
NBC/WSJ/Marist,2012/09/09,2012/09/11,980,LV,37,51,,2012,florida
