pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
SurveyUSA,2008/10/30,2008/11/02,682,LV,43,50,,2008,north-carolina
Mason-Dixon,2008/10/29,2008/10/30,625,LV,46,45,,2008,north-carolina
Research 2000,2008/10/28,2008/10/30,600,LV,45,50,,2008,north-carolina
Rasmussen,2008/10/29,2008/10/29,700,LV,46,52,,2008,north-carolina
PPP (D),2008/10/31,2008/11/02,2100,LV,44,51,,2008,north-carolina
CNN/Time,2008/10/23,2008/10/28,690,LV,44,53,,2008,north-carolina
National Journal/FD,2008/10/23,2008/10/27,402,RV,43,45,,2008,north-carolina
Civitas/TelOpinion (R),2008/10/27,2008/10/29,600,LV,43,45,,2008,north-carolina
PPP (D),2008/10/25,2008/10/26,1038,LV,45,48,,2008,north-carolina
Associated Press/GfK,2008/10/22,2008/10/26,601,LV,43,47,,2008,north-carolina
NBC/Mason-Dixon,2008/10/22,2008/10/24,800,LV,46,42,,2008,north-carolina
WSOC-TV,2008/10/20,2008/10/21,500,LV,43,44,,2008,north-carolina
SurveyUSA,2008/10/18,2008/10/20,627,LV,45,46,,2008,north-carolina
Civitas/TelOpinion (R),2008/10/18,2008/10/20,600,RV,41,44,,2008,north-carolina
PPP (D),2008/10/18,2008/10/19,1200,LV,42,49,,2008,north-carolina
Research 2000,2008/10/14,2008/10/15,600,LV,45,49,,2008,north-carolina
PPP (D),2008/10/11,2008/10/12,1196,LV,44,46,,2008,north-carolina
Rasmussen,2008/10/08,2008/10/08,700,LV,44,49,,2008,north-carolina
Civitas/TelOpinion (R),2008/10/06,2008/10/08,600,RV,42,45,,2008,north-carolina
WSOC-TV,2008/10/06,2008/10/07,500,LV,43,44,,2008,north-carolina
SurveyUSA,2008/10/05,2008/10/06,617,LV,44,43,,2008,north-carolina
PPP (D),2008/10/04,2008/10/05,1202,LV,40,49,,2008,north-carolina
PPP (D),2008/09/27,2008/09/28,1041,LV,38,46,,2008,north-carolina
Rasmussen,2008/09/23,2008/09/23,500,LV,45,48,,2008,north-carolina
Civitas/TelOpinion (R),2008/09/17,2008/09/20,600,LV,43,41,,2008,north-carolina
PPP (D),2008/09/17,2008/09/19,1060,LV,41,46,,2008,north-carolina
Rasmussen,2008/09/18,2008/09/18,500,LV,45,51,,2008,north-carolina
Research 2000,2008/09/08,2008/09/10,600,LV,48,42,,2008,north-carolina
PPP (D),2008/09/09,2008/09/09,626,LV,42,43,,2008,north-carolina
SurveyUSA,2008/09/06,2008/09/08,671,LV,48,40,,2008,north-carolina
Democracy Corps (D),2008/08/20,2008/08/26,852,LV,45,50,,2008,north-carolina
PPP (D),2008/08/20,2008/08/23,904,LV,39,42,,2008,north-carolina
InsiderAdvantage,2008/08/19,2008/08/19,614,LV,40,40,,2008,north-carolina
Civitas/TelOpinion (R),2008/08/14,2008/08/17,600,RV,44,41,,2008,north-carolina
SurveyUSA,2008/08/09,2008/08/11,655,LV,46,41,,2008,north-carolina
Research 2000,2008/07/28,2008/07/30,600,LV,50,42,,2008,north-carolina
PPP (D),2008/07/23,2008/07/27,823,LV,49,40,,2008,north-carolina
Civitas/TelOpinion (R),2008/07/14,2008/07/16,600,LV,47,38,,2008,north-carolina
Rasmussen,2008/07/15,2008/07/15,500,LV,54,43,,2008,north-carolina
SurveyUSA,2008/07/12,2008/07/14,676,LV,54,42,,2008,north-carolina
PPP (D),2008/06/26,2008/06/29,1048,LV,51,37,,2008,north-carolina
Civitas/TelOpinion (R),2008/06/11,2008/06/13,600,RV,48,38,,2008,north-carolina
Rasmussen,2008/06/10,2008/06/10,500,LV,53,39,,2008,north-carolina
PPP (D),2008/05/28,2008/05/29,543,LV,47,39,,2008,north-carolina
SurveyUSA,2008/05/17,2008/05/19,713,LV,50,46,,2008,north-carolina
Civitas/TelOpinion (R),2008/05/14,2008/05/17,800,RV,45,43,,2008,north-carolina
PPP (D),2008/05/08,2008/05/09,616,LV,48,43,,2008,north-carolina
Rasmussen,2008/05/08,2008/05/08,500,LV,47,48,,2008,north-carolina
Research 2000,2008/04/28,2008/04/30,600,LV,48,41,,2008,north-carolina
Rasmussen,2008/04/10,2008/04/10,500,LV,52,39,,2008,north-carolina
Rasmussen,2007/12/19,2007/12/19,500,LV,55,35,,2008,north-carolina
Research 2000,2007/12/16,2007/12/18,600,LV,46,39,,2008,north-carolina
Research 2000,2008/10/22,2008/10/24,600,LV,35,57,,2008,south-dakota
Mason-Dixon,2008/10/13,2008/10/15,800,LV,34,57,,2008,south-dakota
GQR (D)*,2008/08/12,2008/08/14,610,LV,34,61,,2008,south-dakota
Rasmussen,2008/07/09,2008/07/09,500,LV,38,60,,2008,south-dakota
SurveyUSA,2008/10/28,2008/10/29,654,LV,58,39,,2008,south-carolina
SurveyUSA,2008/10/12,2008/10/13,561,LV,56,40,,2008,south-carolina
Research 2000,2008/09/22,2008/09/24,600,LV,51,42,,2008,south-carolina
SurveyUSA,2008/09/21,2008/09/22,690,LV,54,40,,2008,south-carolina
Rasmussen,2008/09/18,2008/09/18,500,LV,50,41,,2008,south-carolina
PPP (D),2008/07/09,2008/07/11,542,LV,54,32,,2008,south-carolina
SurveyUSA,2008/10/29,2008/10/31,664,LV,42,56,,2008,new-mexico
Rasmussen,2008/10/28,2008/10/28,500,lv,41,56,,2008,new-mexico
Albuquerque Journal,2008/09/29,2008/10/02,659,LV,36,51,,2008,new-mexico
PPP (D),2008/10/28,2008/10/30,1537,LV,39,58,,2008,new-mexico
Rasmussen,2008/10/13,2008/10/13,700,LV,37,57,,2008,new-mexico
SurveyUSA,2008/10/12,2008/10/13,568,LV,40,58,,2008,new-mexico
Rasmussen,2008/10/01,2008/10/01,700,LV,41,55,,2008,new-mexico
SurveyUSA,2008/09/29,2008/09/30,698,LV,39,58,,2008,new-mexico
PPP (D),2008/09/17,2008/09/19,1037,LV,37,57,,2008,new-mexico
SurveyUSA,2008/09/14,2008/09/16,671,LV,41,56,,2008,new-mexico
Rasmussen,2008/09/08,2008/09/08,700,LV,44,51,,2008,new-mexico
Rasmussen,2008/08/20,2008/08/20,700,LV,44,52,,2008,new-mexico
Rasmussen,2008/07/24,2008/07/24,700,LV,35,61,,2008,new-mexico
Rasmussen,2008/06/19,2008/06/19,500,LV,30,58,,2008,new-mexico
SurveyUSA,2008/05/30,2008/06/01,1869,RV,36,60,,2008,new-mexico
Rasmussen,2008/05/14,2008/05/14,500,LV,37,53,,2008,new-mexico
SurveyUSA,2008/05/12,2008/05/14,1827,RV,36,60,,2008,new-mexico
Rasmussen,2008/04/08,2008/04/08,500,LV,40,54,,2008,new-mexico
Rasmussen,2008/02/17,2008/02/18,500,LV,42,50,,2008,new-mexico
SurveyUSA,2007/11/16,2007/11/18,1737,RV,40,54,,2008,new-mexico
Research 2000,2007/11/05,2007/11/07,600,LV,37,54,,2008,new-mexico
