pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Wash Post/Univ. of Maryland*,2016/09/27,2016/09/30,706,LV,29,58,,2016,maryland
Goucher College*,2016/09/17,2016/09/20,514,LV,24,54,,2016,maryland
OpinionWorks,2016/08/18,2016/08/30,754,LV,26,55,,2016,maryland
Fort Hays St. University,2016/11/01,2016/11/03,313,LV,77,13,,2016,kansas
KSN News/SurveyUSA*,2016/10/11,2016/10/15,549,LV,56,31,,2016,kansas
KSN News/SurveyUSA*,2016/09/06,2016/09/11,595,LV,50,34,,2016,kansas
KSN News/SurveyUSA*,2016/08/03,2016/08/07,566,LV,52,32,,2016,kansas
KSN News/SurveyUSA,2016/07/08,2016/07/11,537,LV,52,33,,2016,kansas
KABC/SurveyUSA,2016/10/28,2016/10/31,747,LV,,27,,2016,california
Field,2016/10/25,2016/10/31,1498,LV,,23,,2016,california
LA Times/USC,2016/10/22,2016/10/30,697,LV,,31,,2016,california
PPIC,2016/10/14,2016/10/23,1024,LV,,20,,2016,california
KABC/SurveyUSA,2016/10/13,2016/10/15,725,LV,,24,,2016,california
KABC/SurveyUSA,2016/09/27,2016/09/28,732,LV,,29,,2016,california
PPIC,2016/09/09,2016/09/18,1055,LV,,25,,2016,california
Field,2016/09/07,2016/09/13,1426,LV,,20,,2016,california
KABC/SurveyUSA,2016/09/08,2016/09/11,678,LV,,27,,2016,california
PPIC,2016/07/10,2016/07/19,1056,LV,,20,,2016,california
Field,2016/06/08,2016/07/02,956,LV,,24,,2016,california
SurveyUSA,2016/10/31,2016/11/02,681,LV,41,53,,2016,washington
Elway Poll,2016/10/20,2016/10/22,502,LV,34,58,,2016,washington
University of Washington,2016/10/06,2016/10/13,750,LV,39,55,,2016,washington
Emerson,2016/09/25,2016/09/26,700,LV,41,48,,2016,washington
Elway Poll,2015/10/13,2015/10/15,500,RV,23,44,,2016,washington
Monmouth,2016/10/30,2016/11/02,402,LV,61,28,,2016,utah
Heat Street/Rasmussen,2016/10/29,2016/10/31,750,LV,59,27,,2016,utah
Heat Street/Rasmussen*,2016/10/23,2016/10/24,750,LV,56,26,,2016,utah
Heat Street/Rasmussen*,2016/10/14,2016/10/16,750,LV,57,25,,2016,utah
Monmouth,2016/10/10,2016/10/12,403,LV,60,31,,2016,utah
PPP (D)*,2016/08/19,2016/08/14,1018,LV,51,21,,2016,utah
UtahPolicy/Dan Jones*,2016/07/18,2016/08/04,858,LV,57,22,,2016,utah
Morning Call,2016/10/30,2016/11/04,405,LV,43,42,,2016,pennsylvania
Harper (R)*,2016/11/02,2016/11/03,504,LV,44,44,,2016,pennsylvania
Gravis,2016/11/01,2016/11/02,1016,RV,43,45,,2016,pennsylvania
Susquehanna,2016/10/31,2016/11/01,681,LV,41,47,,2016,pennsylvania
Monmouth,2016/10/29,2016/11/01,403,LV,44,47,,2016,pennsylvania
Quinnipiac,2016/10/27,2016/11/01,612,LV,47,48,,2016,pennsylvania
CNN/ORC,2016/10/27,2016/11/01,799,LV,46,51,,2016,pennsylvania
Franklin \u0026amp; Marshall*,2016/10/26,2016/10/30,652,LV,35,47,,2016,pennsylvania
Gravis,2016/10/25,2016/10/30,3217,RV,41,45,,2016,pennsylvania
CBS News/YouGov,2016/10/26,2016/10/28,1091,LV,41,44,,2016,pennsylvania
Emerson,2016/10/25,2016/10/26,550,LV,43,45,,2016,pennsylvania
NY Times/Siena,2016/10/23,2016/10/25,824,LV,44,47,,2016,pennsylvania
Morning Call,2016/10/20,2016/10/26,420,LV,41,41,,2016,pennsylvania
Emerson,2016/10/17,2016/10/19,800,LV,46,43,,2016,pennsylvania
Quinnipiac,2016/10/10,2016/10/16,660,LV,49,45,,2016,pennsylvania
Bloomberg,2016/10/07,2016/10/11,806,LV,45,47,,2016,pennsylvania
Susquehanna*,2016/10/04,2016/10/09,764,LV,42,38,,2016,pennsylvania
CBS News/YouGov,2016/10/05,2016/10/07,997,LV,42,42,,2016,pennsylvania
NBC/WSJ/Marist,2016/10/03,2016/10/06,709,LV,44,48,,2016,pennsylvania
Monmouth*,2016/09/30,2016/10/03,402,LV,46,46,,2016,pennsylvania
Franklin \u0026amp; Marshall*,2016/09/28,2016/10/02,496,LV,35,41,,2016,pennsylvania
Quinnipiac,2016/09/27,2016/10/02,535,LV,50,42,,2016,pennsylvania
Gravis,2016/09/23,2016/09/23,949,LV,39,43,,2016,pennsylvania
CNN/ORC,2016/09/20,2016/09/25,771,LV,46,49,,2016,pennsylvania
Harper (R)*,2016/09/21,2016/09/22,500,LV,42,42,,2016,pennsylvania
Morning Call,2016/09/19,2016/09/23,486,LV,41,40,,2016,pennsylvania
Mercyhurst,2016/09/12,2016/09/23,420,LV,43,42,,2016,pennsylvania
Morning Call,2016/09/12,2016/09/16,486,LV,38,41,,2016,pennsylvania
Quinnipiac,2016/08/31,2016/09/07,778,LV,46,45,,2016,pennsylvania
CBS News/YouGov,2016/08/30,2016/09/02,1091,LV,39,39,,2016,pennsylvania
Franklin \u0026amp; Marshall,2016/08/25,2016/08/29,496,LV,38,43,,2016,pennsylvania
Monmouth*,2016/08/26,2016/08/29,402,LV,41,45,,2016,pennsylvania
Emerson,2016/08/25,2016/08/28,800,LV,46,39,,2016,pennsylvania
NBC/WSJ/Marist,2016/08/03,2016/08/07,834,RV,44,48,,2016,pennsylvania
Quinnipiac,2016/07/30,2016/08/07,815,RV,44,47,,2016,pennsylvania
Susquehanna,2016/07/31,2016/08/04,772,LV,40,42,,2016,pennsylvania
Franklin \u0026amp; Marshall,2016/07/29,2016/07/29,389,LV,38,39,,2016,pennsylvania
PPP (D),2016/07/29,2016/07/31,1505,LV,42,41,,2016,pennsylvania
Suffolk University,2016/07/25,2016/07/27,500,LV,36,43,,2016,pennsylvania
NBC/WSJ/Marist,2016/07/05,2016/07/10,829,RV,44,47,,2016,pennsylvania
Quinnipiac,2016/06/30,2016/07/11,982,RV,49,39,,2016,pennsylvania
PPP (D)*,2016/06/22,2016/06/23,980,RV,40,39,,2016,pennsylvania
Quinnipiac,2016/06/08,2016/06/19,950,RV,49,40,,2016,pennsylvania
Quinnipiac,2016/04/27,2016/05/08,1077,RV,45,44,,2016,pennsylvania
Quinnipiac,2016/03/30,2016/04/04,1737,RV,47,38,,2016,pennsylvania
Mercyhurst University,2016/03/16,2016/03/18,421,RV,47,34,,2016,pennsylvania
PPP (D),2015/10/08,2015/10/11,1012,RV,43,36,,2016,pennsylvania
Quinnipiac,2015/09/25,2015/10/05,1049,RV,51,31,,2016,pennsylvania
Harper (R),2015/09/09,2015/09/10,700,LV,48,34,,2016,pennsylvania
Franklin \u0026amp; Marshall,2015/08/17,2015/08/24,605,RV,35,28,,2016,pennsylvania
Quinnipiac,2015/08/07,2015/08/18,1085,RV,48,32,,2016,pennsylvania
PPP (D),2014/05/30,2014/06/01,835,RV,42,38,,2016,pennsylvania
Landmark/Rosetta Stone*,2016/11/06,2016/11/06,1200,LV,52,41,,2016,georgia
Opinion Savvy*,2016/11/02,2016/11/03,538,LV,50,39,,2016,georgia
NBC/WSJ/Marist*,2016/10/30,2016/11/01,707,LV,48,37,,2016,georgia
Emerson,2016/10/29,2016/10/31,650,LV,48,40,,2016,georgia
Quinnipiac,2016/10/20,2016/10/26,707,LV,54,40,,2016,georgia
WSB-TV/Landmark*,2016/11/02,2016/11/03,1000,LV,50,40,,2016,georgia
FOX 5/Opinion Savvy*,2016/10/20,2016/10/20,570,LV,51,42,,2016,georgia
Landmark Communications*,2016/10/11,2016/10/12,1400,LV,50,37,,2016,georgia
JMC Analytics*,2016/09/20,2016/09/22,600,LV,41,28,,2016,georgia
Quinnipiac,2016/09/13,2016/09/21,638,LV,55,34,,2016,georgia
Monmouth*,2016/09/15,2016/09/18,401,LV,50,34,,2016,georgia
Emerson,2016/09/09,2016/09/13,600,LV,48,32,,2016,georgia
FOX 5 Atlanta*,2016/09/14,2016/09/14,568,LV,47,34,,2016,georgia
NBC/WSJ/Marist,2016/09/06,2016/09/08,649,LV,53,38,,2016,georgia
JMC Analytics,2016/08/06,2016/08/07,615,LV,39,30,,2016,georgia
Atlanta Journal-Constitution,2016/08/01,2016/08/04,847,RV,48,42,,2016,georgia
WXIA-TV/SurveyUSA*,2016/07/29,2016/07/31,570,LV,48,39,,2016,georgia
PPP (D),2016/05/27,2016/05/30,724,RV,47,35,,2016,georgia
Emerson,2016/11/04,2016/11/05,600,LV,47,48,,2016,nevada
Gravis,2016/11/03,2016/11/06,1158,LV,43,49,,2016,nevada
8 News NOW - Las Vegas*,2016/10/28,2016/11/01,600,LV,43,45,,2016,nevada
CNN/ORC,2016/10/27,2016/11/01,790,LV,49,47,,2016,nevada
Emerson,2016/10/26,2016/10/27,550,LV,48,44,,2016,nevada
Gravis,2016/10/25,2016/10/25,875,RV,44,50,,2016,nevada
NBC/WSJ/Marist,2016/10/20,2016/10/24,707,LV,49,42,,2016,nevada
Las Vegas Review-Journal,2016/10/20,2016/10/23,800,LV,44,45,,2016,nevada
KTNV/Rasmussen ,2016/10/20,2016/10/22,826,LV,41,43,,2016,nevada
Monmouth*,2016/10/14,2016/10/17,413,LV,45,42,,2016,nevada
CNN/ORC,2016/10/10,2016/10/15,698,LV,45,52,,2016,nevada
CBS News/YouGov,2016/10/12,2016/10/14,996,LV,39,39,,2016,nevada
8 News NOW - Las Vegas,2016/10/10,2016/10/13,600,LV,35,40,,2016,nevada
Emerson,2016/10/02,2016/10/04,700,LV,45,41,,2016,nevada
UNLV/Hart Research (D),2016/09/27,2016/10/02,700,RV,47,46,,2016,nevada
Las Vegas Review-Journal,2016/09/27,2016/09/29,800,LV,47,45,,2016,nevada
Suffolk*,2016/09/27,2016/09/29,500,LV,38,35,,2016,nevada
FOX News*,2016/09/18,2016/09/20,704,LV,43,36,,2016,nevada
KTNV/Rasmussen ,2016/09/16,2016/09/18,800,LV,44,40,,2016,nevada
Monmouth*,2016/09/11,2016/09/13,406,LV,46,43,,2016,nevada
NBC/WSJ/Marist,2016/09/06,2016/09/08,627,LV,47,45,,2016,nevada
Suffolk University*,2016/08/15,2016/08/17,500,LV,37,37,,2016,nevada
KTNV/Rasmussen ,2016/07/29,2016/07/31,750,LV,42,41,,2016,nevada
KTNV/Rasmussen ,2016/07/22,2016/07/24,750,LV,46,37,,2016,nevada
Monmouth*,2016/07/07,2016/07/10,408,LV,42,40,,2016,nevada
Gravis,2016/05/24,2016/05/25,1637,RV,43,45,,2016,nevada
Quinnipiac,2016/11/03,2016/11/06,884,LV,50,43,,2016,florida
CBS News/YouGov,2016/11/02,2016/11/04,1188,LV,47,44,,2016,florida
FOX 13/Opinion Savvy,2016/11/01,2016/11/02,603,LV,50,46,,2016,florida
Gravis,2016/11/01,2016/11/02,1220,RV,47,46,,2016,florida
Quinnipiac,2016/10/27,2016/11/01,626,LV,50,44,,2016,florida
CNN/ORC,2016/10/27,2016/11/01,773,LV,49,48,,2016,florida
Emerson,2016/10/26,2016/10/27,500,LV,49,47,,2016,florida
NY Times/Siena,2016/10/25,2016/10/27,814,LV,51,42,,2016,florida
NBC/WSJ/Marist,2016/10/25,2016/10/26,779,LV,51,43,,2016,florida
Gravis,2016/10/25,2016/10/26,1301,RV,46,46,,2016,florida
Dixie Strategies,2016/10/25,2016/10/26,698,LV,49,43,,2016,florida
Bloomberg,2016/10/21,2016/10/24,953,LV,51,41,,2016,florida
