pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
Trafalgar Group (R)*,2022/11/05,2022/11/07,1094,LV,48,47,,2022,arizona,
Data for Progress (D)**,2022/11/02,2022/11/06,1359,LV,50,49,,2022,arizona,
FOX 10/InsiderAdvantage*,2022/11/02,2022/11/02,550,LV,48,48,,2022,arizona,
Remington Research (R)*,2022/11/01,2022/11/02,1075,LV,47,48,,2022,arizona,
Marist,2022/10/31,2022/11/02,1015,LV,47,50,,2022,arizona,
Emerson,2022/10/30,2022/11/01,1000,LV,48,48,,2022,arizona,
FOX News,2022/10/26,2022/10/30,,LV,46,47,,2022,arizona,
OH Predictive Insights*,2022/10/24,2022/10/26,600,LV,46,48,,2022,arizona,
NY Times/Siena*,2022/10/24,2022/10/26,604,LV,45,51,,2022,arizona,
FOX 10/InsiderAdvantage*,2022/10/24,2022/10/25,550,LV,43,45,,2022,arizona,
Univision/Shaw \u0026amp; Co.,2022/10/19,2022/10/26,1000,RV,40,44,,2022,arizona,
Daily Wire/Trafalgar,2022/10/16,2022/10/17,1078,LV,46,47,,2022,arizona,
Data for Progress (D)**,2022/10/11,2022/10/17,893,LV,47,47,,2022,arizona,
Federalist/Susquehanna*,2022/10/14,2022/10/18,600,LV,45,48,,2022,arizona,
KPHO-TV/HighGround*,2022/10/12,2022/10/13,500,LV,40,42,,2022,arizona,
FOX 10/InsiderAdvantage*,2022/10/11,2022/10/11,550,LV,42,46,,2022,arizona,
CBS News/YouGov,2022/09/30,2022/10/04,1164,LV,48,51,,2022,arizona,
CNN,2022/09/26,2022/10/02,795,LV,45,51,,2022,arizona,
FOX News,2022/09/22,2022/09/26,,LV,42,47,,2022,arizona,
Arizona Republic/Suffolk*,2022/09/21,2022/09/25,500,LV,42,49,,2022,arizona,
Marist,2022/09/17,2022/09/22,1076,LV,45,50,,2022,arizona,
Data for Progress (D)**,2022/09/15,2022/09/19,768,LV,47,48,,2022,arizona,
Trafalgar Group (R)*,2022/09/14,2022/09/17,1080,LV,45,47,,2022,arizona,
Fabrizio/Anzalone*,2022/09/08,2022/09/15,500,LV,42,50,,2022,arizona,
Emerson,2022/09/06,2022/09/07,627,LV,45,47,,2022,arizona,
FOX 10/InsiderAdvantage*,2022/09/06,2022/09/07,550,LV,39,45,,2022,arizona,
Trafalgar Group (R)*,2022/08/24,2022/08/27,1074,LV,44,48,,2022,arizona,
FOX News,2022/08/12,2022/08/16,1012,RV,42,50,,2022,arizona,
Quinnipiac,2022/10/19,2022/10/23,1879,LV,41,56,,2022,connecticut,
The Hill/Emerson,2022/10/19,2022/10/21,1000,LV,40,53,,2022,connecticut,
 CT Examiner/Fabrizio,2022/10/10,2022/10/13,1200,LV,44,49,,2022,connecticut,
WFSB-TV/CT Insider,2022/09/15,2022/09/21,626,LV,40,53,,2022,connecticut,
Quinnipiac,2022/09/15,2022/09/19,1911,LV,40,57,,2022,connecticut,
The Hill/Emerson,2022/09/07,2022/09/09,1000,LV,36,49,,2022,connecticut,
The Hill/Emerson,2022/05/10,2022/05/11,1000,RV,36,52,,2022,connecticut,
Trafalgar Group (R),2022/11/03,2022/11/05,1123,LV,54,44,,2022,ohio,
Data for Progress (D)**,2022/11/02,2022/11/05,1413,LV,55,45,,2022,ohio,
Cygnal (Tracking),2022/11/01,2022/11/03,1498,LV,49,43,,2022,ohio,
Remington Research (R)*,2022/11/01,2022/11/02,1125,LV,48,43,,2022,ohio,
Emerson,2022/10/30,2022/11/01,1000,LV,53,44,,2022,ohio,
Marist,2022/10/17,2022/10/20,942,LV,47,47,,2022,ohio,
Spectrum News/Siena,2022/10/14,2022/10/19,644,LV,46,46,,2022,ohio,
USA Today/Suffolk,2022/10/11,2022/10/15,500,LV,47,45,,2022,ohio,
Trafalgar Group (R),2022/10/10,2022/10/12,1081,LV,47,44,,2022,ohio,
Data for Progress (D)**,2022/10/07,2022/10/12,1016,LV,49,46,,2022,ohio,
AmGreatness/Cygnal,2022/10/06,2022/10/08,640,LV,46,44,,2022,ohio,
The Hill/Emerson,2022/10/06,2022/10/07,1000,LV,46,45,,2022,ohio,
Spectrum News/Siena,2022/09/18,2022/09/22,642,LV,43,46,,2022,ohio,
Marist,2022/09/12,2022/09/15,1009,LV,48,47,,2022,ohio,
The Hill/Emerson,2022/09/12,2022/09/13,1000,LV,44,40,,2022,ohio,
Cincinnati Enquirer/Suffolk,2022/09/05,2022/09/07,500,LV,46,47,,2022,ohio,
Trafalgar Group (R),2022/08/16,2022/08/19,1087,LV,50,45,,2022,ohio,
Emerson,2022/08/15,2022/08/16,925,LV,45,42,,2022,ohio,
Columbus Dispatch/Suffolk,2022/05/22,2022/05/24,500,LV,42,39,,2022,ohio,
The Hill/Emerson*,2022/10/20,2022/10/24,1000,LV,39,49,,2022,illinois,
Chicago Sun-Times/PPP*,2022/10/10,2022/10/11,770,LV,36,50,,2022,illinois,
WGN-TV/Emerson,2022/09/21,2022/09/23,1000,RV,31,50,,2022,illinois,
Data for Progress (D)**,2022/11/02,2022/11/05,1504,LV,53,47,,2022,wisconsin,
Trafalgar Group (R),2022/11/02,2022/11/04,1095,LV,50,47,,2022,wisconsin,
Spectrum News/Siena,2022/10/27,2022/10/31,655,LV,47,45,,2022,wisconsin,
Marquette,2022/10/24,2022/11/01,679,LV,50,48,,2022,wisconsin,
The Hill/Emerson,2022/10/27,2022/10/29,1000,LV,51,46,,2022,wisconsin,
FOX News,2022/10/26,2022/10/30,,LV,48,46,,2022,wisconsin,
Data for Progress (D)**,2022/10/14,2022/10/22,1376,LV,51,46,,2022,wisconsin,
CNN,2022/10/13,2022/10/17,714,LV,50,49,,2022,wisconsin,
Marquette,2022/10/03,2022/10/09,652,LV,52,46,,2022,wisconsin,
CBS News/YouGov,2022/10/03,2022/10/06,1137,LV,50,49,,2022,wisconsin,
PPP (D),2022/09/26,2022/09/27,574,LV,47,47,,2022,wisconsin,
FOX News,2022/09/22,2022/09/26,,LV,50,45,,2022,wisconsin,
Data for Progress (D)**,2022/09/20,2022/09/22,999,LV,50,48,,2022,wisconsin,
Fabrizio/Anzalone,2022/09/18,2022/09/25,500,LV,51,46,,2022,wisconsin,
Trafalgar Group (R),2022/09/15,2022/09/19,1087,LV,49,47,,2022,wisconsin,
Emerson,2022/09/16,2022/09/18,860,LV,48,44,,2022,wisconsin,
Spectrum News/Siena,2022/09/14,2022/09/15,651,LV,47,48,,2022,wisconsin,
Marquette,2022/09/06,2022/09/11,632,LV,49,48,,2022,wisconsin,
Trafalgar Group (R),2022/08/22,2022/08/25,1091,LV,47,49,,2022,wisconsin,
FOX News,2022/08/12,2022/08/16,1006,RV,46,50,,2022,wisconsin,
Marquette,2022/08/10,2022/08/15,811,RV,44,51,,2022,wisconsin,
Marquette,2022/06/14,2022/06/20,803,RV,44,46,,2022,wisconsin,
Goucher College,2022/09/08,2022/09/12,748,LV,33,56,,2022,maryland,
The Hill/Emerson,2022/10/27,2022/10/29,1000,LV,54,33,,2022,kansas,
The Hill/Emerson,2022/09/15,2022/09/18,1000,LV,45,33,,2022,kansas,
Data for Progress (D)**,2022/10/21,2022/10/26,1039,LV,32,63,,2022,vermont,
Trafalgar Group (R),2022/09/03,2022/09/07,1072,LV,43,50,,2022,vermont,
USC Schwarzenegger,2022/10/30,2022/11/02,802,RV,37,63,,2022,california,
