pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Deseret News,2006/09/25,2006/09/28,922,RV,62,25,,2006,utah
Fairleigh Dickinson,2006/09/14,2006/09/19,651,RV,23,63,,2006,delaware
Fairleigh Dickinson,2006/10/18,2006/10/24,502,LV,26,60,,2006,delaware
Rasmussen,2006/10/31,2006/10/31,500,LV,45,50,,2006,maryland
Mason-Dixon,2006/11/01,2006/11/03,625,LV,44,47,,2006,maryland
SurveyUSA,2006/11/03,2006/11/05,663,LV,46,49,,2006,maryland
Potomac,2005/04/11,2005/04/13,1000,LV,37,41,,2006,maryland
Rasmussen,2005/07/18,2005/07/18,500,LV,40,45,,2006,maryland
Gonzales Res.,2005/10/17,2005/10/21,815,RV,38,47,,2006,maryland
Potomac,2005/10/27,2005/11/01,1008,LV,32,43,,2006,maryland
Rasmussen,2005/11/16,2005/11/16,500,LV,41,49,,2006,maryland
Rasmussen,2006/01/10,2006/01/10,500,LV,45,40,,2006,maryland
Rasmussen,2006/02/19,2006/02/19,500,LV,35,49,,2006,maryland
Gonzales Res.,2006/04/04,2006/04/13,819,RV,35,49,,2006,maryland
Rasmussen,2006/04/18,2006/04/18,500,LV,35,45,,2006,maryland
Washington Post,2006/06/19,2006/06/25,902,RV,40,52,,2006,maryland
Potomac,2006/07/06,2006/07/10,1200,LV,36,47,,2006,maryland
Rasmussen,2006/07/10,2006/07/10,500,LV,41,47,,2006,maryland
Pub Op Str (R),2006/08/01,2006/08/02,500,RV,35,43,,2006,maryland
Rasmussen,2006/08/09,2006/08/09,500,LV,42,47,,2006,maryland
Gonzales Res.,2006/08/18,2006/08/25,625,LV,39,44,,2006,maryland
Zogby Interactive*,2006/08/29,2006/09/05,n/a,,40,49,,2006,maryland
Rasmussen,2006/09/13,2006/09/13,500,LV,43,50,,2006,maryland
Potomac,2006/09/15,2006/09/18,815,LV,40,51,,2006,maryland
SurveyUSA,2006/09/17,2006/09/19,522,LV,48,47,,2006,maryland
Zogby Interactive*,2006/09/19,2006/09/25,,,39,52,,2006,maryland
Mason-Dixon,2006/09/22,2006/09/26,625,LV,41,47,,2006,maryland
VC Research (R),2006/09/27,2006/09/28,602,LV,39,44,,2006,maryland
USA Today/Gallup,2006/09/27,2006/10/01,678,LV,39,54,,2006,maryland
Reuters/Zogby,2006/09/25,2006/10/02,600,LV,37,45,,2006,maryland
Pub Op Str (R),2006/10/02,2006/10/04,800,RV,43,47,,2006,maryland
Rasmussen,2006/10/10,2006/10/10,500,LV,44,53,,2006,maryland
Zogby Interactive *,2006/10/10,2006/10/16,664,LV,43,51,,2006,maryland
SurveyUSA,2006/10/15,2006/10/17,698,LV,46,46,,2006,maryland
VC Research (R),2006/10/22,2006/10/23,602,LV,39,41,,2006,maryland
Garin Hart Yang (D),2006/10/23,2006/10/24,,LV,40,52,,2006,maryland
Washington Post,2006/10/22,2006/10/26,1003,LV,43,54,,2006,maryland
Rasmussen,2006/10/26,2006/10/26,500,LV,45,50,,2006,maryland
Zogby Interactive*,2006/10/23,2006/10/27,,LV,44,53,,2006,maryland
Baltimore Sun,2006/10/28,2006/10/30,800,LV,43,49,,2006,maryland
Reuters/Zogby,2006/10/24,2006/10/31,600,LV,44,49,,2006,maryland
SurveyUSA,2006/10/31,2006/11/02,694,LV,47,47,,2006,maryland
Rasmussen,2006/10/26,2006/10/26,500,LV,42,54,,2006,washington
SurveyUSA,2006/10/27,2006/10/29,774,LV,41,54,,2006,washington
U. of Washington,2006/10/25,2006/10/31,700,RV,41,53,,2006,washington
Mason-Dixon,2006/10/31,2006/11/02,625,LV,38,54,,2006,washington
Strategic Vision (R),2005/05/15,2005/05/17,800,LV,36,49,,2006,washington
Strategic Vision (R),2005/08/05,2005/08/07,800,RV,38,46,,2006,washington
