pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state,overlapping_special_election
NBC News/Marist,2020/10/29,2020/11/01,717,LV,46,52,,2020,arizona,
CNBC/Change Research (D),2020/10/29,2020/11/01,409,LV,47,51,,2020,arizona,
Emerson,2020/10/29,2020/10/31,732,LV,46,49,,2020,arizona,
Reuters/Ipsos,2020/10/27,2020/11/01,610,LV,44,53,,2020,arizona,
NY Times/Siena,2020/10/26,2020/10/30,1252,LV,43,50,,2020,arizona,
Rasmussen Reports,2020/10/27,2020/10/29,800,LV,43,48,,2020,arizona,
CNN,2020/10/23,2020/10/30,865,LV,45,52,,2020,arizona,
Reuters/Ipsos,2020/10/21,2020/10/27,714,LV,44,51,,2020,arizona,
OH Predictive Insights,2020/10/22,2020/10/25,716,LV,45,50,,2020,arizona,
Susquehanna,2020/10/19,2020/10/22,500,LV,50,47,,2020,arizona,
Rasmussen Reports,2020/10/18,2020/10/19,800,LV,44,46,,2020,arizona,
Reuters/Ipsos,2020/10/14,2020/10/21,685,LV,44,51,,2020,arizona,
CNBC/Change Research (D),2020/10/16,2020/10/19,,LV,43,54,,2020,arizona,
CBS News/YouGov,2020/10/13,2020/10/16,1074,LV,41,52,,2020,arizona,
Reuters/Ipsos,2020/10/07,2020/10/14,667,LV,41,52,,2020,arizona,
Monmouth*,2020/10/09,2020/10/13,502,LV,42,52,,2020,arizona,
Trafalgar Group (R),2020/10/06,2020/10/09,1045,LV,45,47,,2020,arizona,
OH Predictive Insights,2020/10/04,2020/10/08,608,LV,45,50,,2020,arizona,
CNBC/Change Research (D),2020/10/02,2020/10/04,296,LV,43,51,,2020,arizona,
Reuters/Ipsos,2020/09/29,2020/10/07,633,LV,41,51,,2020,arizona,
NY Times/Siena*,2020/10/01,2020/10/03,655,LV,39,50,,2020,arizona,
USA Today/Suffolk*,2020/09/26,2020/09/30,500,LV,40,49,,2020,arizona,
Susquehanna,2020/09/25,2020/09/28,500,LV,44,48,,2020,arizona,
ABC News/Wash Post,2020/09/15,2020/09/20,579,LV,48,49,,2020,arizona,
CNBC/Change Research (D),2020/09/18,2020/09/20,262,LV,43,51,,2020,arizona,
NY Times/Siena,2020/09/11,2020/09/16,653,LV,42,50,,2020,arizona,
Monmouth,2020/09/11,2020/09/15,420,LV,46,50,,2020,arizona,
Gravis,2020/09/10,2020/09/11,684,LV,43,48,,2020,arizona,
CBS News/YouGov,2020/09/09,2020/09/11,1106,LV,42,49,,2020,arizona,
OH Predictive Insights,2020/09/08,2020/09/10,600,LV,42,52,,2020,arizona,
CNBC/Change Research (D),2020/09/04,2020/09/06,470,LV,45,51,,2020,arizona,
FOX News,2020/08/29,2020/09/01,772,LV,39,56,,2020,arizona,
CNBC/Change Research (D),2020/08/07,2020/08/09,428,LV,43,49,,2020,arizona,
Emerson,2020/08/08,2020/08/10,661,LV,41,52,,2020,arizona,
OH Predictive Insights,2020/08/03,2020/08/04,603,LV,43,48,,2020,arizona,
CNBC/Change Research (D),2020/07/24,2020/07/26,365,LV,45,47,,2020,arizona,
CNN,2020/07/18,2020/07/24,873,RV,43,50,,2020,arizona,
NBC News/Marist,2020/07/14,2020/07/22,826,RV,41,53,,2020,arizona,
CNBC/Change Research (D),2020/07/10,2020/07/12,345,LV,45,52,,2020,arizona,
CBS News/YouGov,2020/07/07,2020/07/10,1099,RV,42,46,,2020,arizona,
OH Predictive Insights,2020/07/06,2020/07/07,600,LV,43,52,,2020,arizona,
CNBC/Change Research (D),2020/06/26,2020/06/28,311,LV,44,53,,2020,arizona,
Gravis,2020/06/27,2020/06/27,527,LV,46,42,,2020,arizona,
NY Times/Siena,2020/06/08,2020/06/16,650,RV,38,47,,2020,arizona,
FOX News,2020/05/30,2020/06/02,1002,RV,37,50,,2020,arizona,
OH Predictive Insights,2020/05/09,2020/05/11,600,LV,38,51,,2020,arizona,
OH Predictive Insights,2020/04/07,2020/04/08,600,LV,42,51,,2020,arizona,
Monmouth,2020/03/11,2020/03/14,847,RV,44,50,,2020,arizona,
Univision/ASU,2020/03/06,2020/03/11,1036,RV,36,48,,2020,arizona,
OH Predictive Insights,2020/03/03,2020/03/04,600,LV,42,49,,2020,arizona,
PPP (D),2020/03/02,2020/03/03,666,RV,42,47,,2020,arizona,
PPP (D),2020/01/02,2020/01/04,760,RV,42,46,,2020,arizona,
OH Predictive Insights,2019/12/03,2019/12/04,628,LV,44,47,,2020,arizona,
Emerson,2019/10/25,2019/10/28,904,RV,45,46,,2020,arizona,
OH Predictive Insights,2019/08/13,2019/08/14,600,LV,41,46,,2020,arizona,
OH Predictive Insights,2019/05/01,2019/05/02,600,LV,45,44,,2020,arizona,
OH Predictive Insights,2019/02/12,2019/02/13,600,LV,46,44,,2020,arizona,
Auburn Univ.,2019/10/23,2020/10/28,853,LV,54,43,,2020,alabama,
Auburn Univ.,2020/09/30,2020/10/03,1072,RV,54,42,,2020,alabama,
AL Daily News/Mason-Dixon,2020/02/04,2020/02/06,625,RV,50,42,,2020,alabama,
PPP (D),2020/11/01,2020/11/02,871,LV,47,48,,2020,iowa,
InsiderAdvantage*,2020/10/30,2020/10/30,400,LV,51,45,,2020,iowa,
Emerson,2020/10/29,2020/10/30,604,LV,44,48,,2020,iowa,
Des Moines Register,2020/10/26,2020/10/29,814,LV,46,42,,2020,iowa,
Quinnipiac,2020/10/23,2020/10/27,1225,LV,48,46,,2020,iowa,
Who-TV 13**,2020/10/21,2020/10/24,693,LV,45,51,,2020,iowa,
Emerson,2020/10/19,2020/10/21,435,LV,46,45,,2020,iowa,
NY Times/Siena*,2020/10/18,2020/10/20,753,LV,45,44,,2020,iowa,
InsiderAdvantage*,2020/10/18,2020/10/19,400,LV,43,48,,2020,iowa,
Monmouth*,2020/10/15,2020/10/19,501,LV,47,49,,2020,iowa,
CBS News/YouGov,2020/10/06,2020/10/09,1035,LV,43,47,,2020,iowa,
Quinnipiac,2020/10/01,2020/10/05,1256,LV,45,50,,2020,iowa,
Who-TV 13**,2020/09/23,2020/09/26,780,LV,39,51,,2020,iowa,
Monmouth*,2020/09/18,2020/09/22,402,LV,46,49,,2020,iowa,
NY Times/Siena*,2020/09/16,2020/09/21,501,LV,40,42,,2020,iowa,
Des Moines Register,2020/09/14,2020/09/17,658,LV,42,45,,2020,iowa,
Monmouth*,2020/07/30,2020/08/03,401,LV,48,47,,2020,iowa,
Des Moines Register,2019/06/07,2019/06/10,674,LV,43,46,,2020,iowa,
PPP (D),2020/04/30,2020/05/01,1222,RV,43,42,,2020,iowa,
MSU-Billings*,2020/10/19,2020/10/24,546,LV,47,48,,2020,montana,
NY Times/Siena*,2020/10/18,2020/10/20,758,LV,49,46,,2020,montana,
NBC-MT/Strategies 360,2020/10/15,2020/10/20,500,LV,48,47,,2020,montana,
PPP (D),2020/10/09,2020/10/10,798,LV,48,48,,2020,montana,
Emerson,2020/10/05,2020/10/07,500,LV,52,43,,2020,montana,
NY Times/Siena*,2020/09/14,2020/09/16,625,LV,45,44,,2020,montana,
Emerson,2020/07/31,2020/08/02,584,LV,50,44,,2020,montana,
PPP (D),2020/07/09,2020/07/10,1224,RV,44,46,,2020,montana,
SurveyUSA,2020/10/23,2020/10/27,649,LV,42,45,,2020,minnesota,
KSTP/SurveyUSA,2020/10/16,2020/10/20,625,LV,42,43,,2020,minnesota,
MinnPost*,2020/10/12,2020/10/15,1021,LV,44,48,,2020,minnesota,
KSTP/SurveyUSA,2020/10/01,2020/10/06,929,LV,37,44,,2020,minnesota,
Star Tribune/Mason-Dixon,2020/09/21,2020/09/23,800,LV,41,49,,2020,minnesota,
USA Today/Suffolk*,2020/09/20,2020/09/24,500,LV,35,45,,2020,minnesota,
CBS News/YouGov,2020/09/09,2020/09/11,1087,LV,40,47,,2020,minnesota,
NY Times/Siena,2020/09/08,2020/09/10,814,LV,40,49,,2020,minnesota,
KSTP/SurveyUSA,2020/09/04,2020/09/07,553,LV,36,47,,2020,minnesota,
PPP (D),2020/09/03,2020/09/04,877,RV,41,49,,2020,minnesota,
Emerson,2020/08/08,2020/08/10,733,RV,45,48,,2020,minnesota,
The Arkansas Poll,2020/10/09,2020/10/21,591,LV,75,,20,2020,arkansas,
Talk Business/Hendrix College,2020/10/11,2020/10/13,647,LV,63,,28,2020,arkansas,
U. of Colorado/YouGov,2020/10/05,2020/10/09,800,LV,40,48,,2020,colorado,
KUSA/SurveyUSA,2020/10/01,2020/10/06,1109,LV,39,48,,2020,colorado,
NY Times/Siena*,2020/10/09,2020/10/14,423,LV,45,,37,2020,alaska,
PPP (D),2020/07/07,2020/07/08,1081,RV,39,,34,2020,alaska,
University of Delaware*,2020/09/21,2020/09/27,847,LV,27,57,,2020,delaware,
Emerson*,2020/10/29,2020/10/31,611,LV,42,48,,2020,maine,
Colby College*,2020/10/21,2020/10/25,879,LV,43,47,,2020,maine,
Pan Atlantic*,2020/10/02,2020/10/06,600,LV,40,47,,2020,maine,
Bangor Daily News*,2020/09/25,2020/10/04,466,LV,43,44,,2020,maine,
Colby College*,2020/09/17,2020/09/23,847,LV,41,45,,2020,maine,
Boston Globe/Suffolk*,2020/09/17,2020/09/20,500,LV,41,46,,2020,maine,
NY Times/Siena*,2020/09/11,2020/09/16,663,LV,44,49,,2020,maine,
Quinnipiac,2020/09/10,2020/09/14,1183,LV,42,54,,2020,maine,
Bangor Daily News,2020/07/28,2020/08/09,500,RV,38,43,,2020,maine,
Quinnipiac,2020/07/30,2020/08/03,807,RV,43,47,,2020,maine,
Colby College,2020/07/18,2020/06/24,888,LV,39,44,,2020,maine,
PPP (D),2020/07/02,2020/07/03,1022,RV,42,46,,2020,maine,
PPP (D),2020/03/02,2020/03/03,872,RV,43,47,,2020,maine,
Colby College/Socialsphere,2020/02/10,2020/02/13,1008,RV,42,43,,2020,maine,
WSB-TV/Landmark*,2020/11/01,2020/11/01,500,LV,49,47,,2020,georgia,1
Emerson,2020/10/29,2020/10/31,749,LV,46,47,,2020,georgia,1
