pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,year,state
Atlas Intel,2024/11/03,2024/11/04,875,LV,48,48,,2024,arizona
Trafalgar Group (R),2024/11/01,2024/11/03,1090,LV,49,49,,2024,arizona
InsiderAdvantage,2024/11/01,2024/11/02,800,LV,47,49,,2024,arizona
The Hill/Emerson,2024/10/30,2024/10/02,900,LV,45,50,,2024,arizona
NY Times/Siena,2024/10/25,2024/11/02,1025,LV,45,50,,2024,arizona
Data Orbital,2024/10/26,2024/10/28,550,LV,45,45,,2024,arizona
Data for Progress (D)**,2024/10/25,2024/10/30,1079,LV,45,50,,2024,arizona
Rasmussen Reports,2024/10/25,2024/10/29,803,LV,44,48,,2024,arizona
Atlas Intel,2024/10/30,2024/10/31,1005,LV,49,48,,2024,arizona
Atlas Intel,2024/10/25,2024/10/29,1458,LV,48,48,,2024,arizona
Morning Consult,2024/10/20,2024/10/29,,LV,42,50,,2024,arizona
Trafalgar Group (R),2024/10/24,2024/10/26,1094,LV,46,50,,2024,arizona
CNN*,2024/10/21,2024/10/26,781,LV,43,51,,2024,arizona
InsiderAdvantage,2024/10/19,2024/10/20,800,LV,46,50,,2024,arizona
Marist,2024/10/17,2024/10/22,1193,LV,45,53,,2024,arizona
Atlas Intel,2024/10/12,2024/10/17,1411,LV,46,50,,2024,arizona
CBS News,2024/10/11,2024/10/16,1403,LV,45,54,,2024,arizona
Trafalgar Group (R),2024/10/10,2024/10/13,1090,LV,44,48,,2024,arizona
NY Times/Siena,2024/10/07,2024/10/10,808,LV,41,48,,2024,arizona
The Hill/Emerson,2024/10/05,2024/10/08,1000,LV,43,50,,2024,arizona
InsiderAdvantage,2024/09/29,2024/09/30,800,LV,43,50,,2024,arizona
Fabrizio/Anzalone,2024/09/24,2024/10/01,600,LV,44,51,,2024,arizona
Emerson,2024/09/27,2024/09/28,920,LV,41,52,,2024,arizona
KPHO-TV/HighGround,2024/09/26,2024/09/29,500,LV,41,51,,2024,arizona
USA Today/Suffolk*,2024/09/21,2024/09/24,500,LV,41,47,,2024,arizona
Atlas Intel,2024/09/20,2024/09/25,946,LV,46,50,,2024,arizona
Cook Political Report,2024/09/19,2024/09/25,409,LV,41,54,,2024,arizona
FOX News,2024/09/20,2024/09/24,764,LV,42,55,,2024,arizona
Marist,2024/09/19,2024/09/24,1264,LV,44,54,,2024,arizona
Rasmussen Reports,2024/09/19,2024/09/22,1071,LV,45,47,,2024,arizona
NY Times/Siena,2024/09/17,2024/09/21,2077,LV,43,49,,2024,arizona
The Hill/Emerson,2024/09/15,2024/09/18,868,LV,42,48,,2024,arizona
Trafalgar Group (R),2024/09/11,2024/09/12,1088,LV,43,47,,2024,arizona
InsiderAdvantage,2024/08/29,2024/08/30,800,LV,45,49,,2024,arizona
The Hill/Emerson,2024/08/25,2024/08/28,720,LV,42,49,,2024,arizona
CNN,2024/08/23,2024/08/29,682,LV,44,47,,2024,arizona
FOX News,2024/08/23,2024/08/26,1014,RV,41,56,,2024,arizona
Rasmussen Reports,2024/08/13,2024/08/17,1187,LV,40,48,,2024,arizona
Noble Predictive Insights,2024/08/12,2024/08/16,1003,RV,40,47,,2024,arizona
NY Times/Siena,2024/08/08,2024/08/15,677,LV,42,51,,2024,arizona
Cook Political Report,2024/07/26,2024/08/02,435,LV,42,51,,2024,arizona
The Hill/Emerson,2024/07/22,2024/07/23,800,RV,42,46,,2024,arizona
Rasmussen Reports,2024/07/05,2024/07/12,1101,LV,41,44,,2024,arizona
PPP (D),2024/07/10,2024/07/11,596,RV,47,50,,2024,arizona
The Times/SAY,2024/07/04,2024/07/12,900,RV,41,48,,2024,arizona
Remington Research (R),2024/06/29,2024/07/01,,RV,47,47,,2024,arizona
AmGreatness/NSOR*,2024/06/17,2024/06/20,600,LV,38,39,,2024,arizona
The Hill/Emerson,2024/06/13,2024/06/18,1000,RV,41,45,,2024,arizona
Rasmussen Reports,2024/06/11,2024/06/13,750,LV,41,44,,2024,arizona
Fabrizio/Anzalone,2024/05/28,2024/06/04,600,LV,45,48,,2024,arizona
CBS News,2024/05/10,2024/05/16,1193,LV,36,49,,2024,arizona
Noble Predictive Insights,2024/05/07,2024/05/14,1003,RV,36,46,,2024,arizona
Cook Political Report,2024/05/06,2024/05/13,527,LV,41,46,,2024,arizona
NY Times/Siena,2024/04/28,2024/05/09,626,LV,43,46,,2024,arizona
The Hill/Emerson,2024/04/25,2024/04/29,1000,RV,43,45,,2024,arizona
The Hill/Emerson,2024/03/12,2024/03/15,1000,RV,49,51,,2024,arizona
The Hill/Emerson,2024/02/16,2024/02/19,1000,RV,39,46,,2024,arizona
Noble Predictive Insights,2024/02/06,2024/02/13,1002,RV,37,47,,2024,arizona
Noble Predictive Insights,2023/07/13,2023/07/17,1000,RV,35,45,,2024,arizona
OH Predictive Insights,2023/01/31,2023/02/09,1000,RV,33,43,,2024,arizona
Atlas Intel,2024/11/01,2024/11/04,2202,LV,44,53,,2024,virginia
Cygnal (R),2024/10/27,2024/10/29,600,LV,42,52,,2024,virginia
Roanoke College,2024/10/25,2024/10/29,859,LV,40,51,,2024,virginia
Rasmussen Reports,2024/10/24,2024/10/25,1014,LV,39,50,,2024,virginia
Washington Post,2024/10/19,2024/10/23,1004,LV,41,54,,2024,virginia
Christopher Newport Univ.,2024/09/28,2024/10/04,800,LV,35,55,,2024,virginia
The Hill/Emerson,2024/09/22,2024/09/24,860,LV,41,51,,2024,virginia
Rasmussen Reports,2024/09/19,2024/09/22,1144,LV,39,51,,2024,virginia
Univ. of Mary Washington,2024/09/03,2024/09/09,756,LV,43,49,,2024,virginia
Washington Post,2024/09/04,2024/09/08,1005,LV,41,53,,2024,virginia
Roanoke College,2024/08/12,2024/08/16,691,LV,38,49,,2024,virginia
Emerson,2024/07/13,2024/07/15,1000,RV,39,49,,2024,virginia
NY Times/Siena,2024/07/09,2024/07/11,661,LV,36,53,,2024,virginia
VCU,2024/06/24,2024/07/03,809,A,38,49,,2024,virginia
Atlas Intel,2024/11/03,2024/11/04,707,LV,43,48,,2024,nevada
The Hill/Emerson,2024/10/30,2024/11/02,840,LV,44,50,,2024,nevada
Noble Predictive Insights,2024/10/28,2024/10/31,593,LV,46,48,,2024,nevada
Susquehanna,2024/10/28,2024/10/31,400,LV,47,46,,2024,nevada
NY Times/Siena,2024/10/24,2024/11/02,1010,LV,43,52,,2024,nevada
Data for Progress (D)**,2024/10/25,2024/10/30,721,LV,42,49,,2024,nevada
Rasmussen Reports,2024/10/25,2024/10/28,767,LV,41,50,,2024,nevada
Trafalgar Group (R),2024/10/25,2024/10/28,1082,LV,45,47,,2024,nevada
Atlas Intel,2024/11/01,2024/11/02,782,LV,46,46,,2024,nevada
Emerson,2024/10/29,2024/10/31,700,LV,45,49,,2024,nevada
Atlas Intel,2024/10/27,2024/10/30,845,LV,45,47,,2024,nevada
Atlas Intel,2024/10/25,2024/10/29,1083,LV,44,49,,2024,nevada
CNN,2024/10/21,2024/10/26,683,LV,41,50,,2024,nevada
InsiderAdvantage,2024/10/19,2024/10/20,800,LV,44,48,,2024,nevada
Atlas Intel,2024/10/12,2024/10/17,1171,LV,43,47,,2024,nevada
Fabrizio/Anzalone,2024/10/08,2024/10/15,600,LV,44,49,,2024,nevada
Rasmussen Reports,2024/10/09,2024/10/14,748,LV,44,47,,2024,nevada
Trafalgar Group (R),2024/10/10,2024/10/13,1088,LV,43,48,,2024,nevada
The Hill/Emerson,2024/10/05,2024/10/08,900,LV,42,50,,2024,nevada
InsiderAdvantage,2024/09/29,2024/09/30,800,LV,42,49,,2024,nevada
Atlas Intel,2024/09/20,2024/09/25,858,LV,46,48,,2024,nevada
Cook Political Report,2024/09/19,2024/09/25,409,LV,40,53,,2024,nevada
Rasmussen Reports,2024/09/19,2024/09/22,738,LV,40,50,,2024,nevada
Remington Research (R),2024/09/16,2024/09/20,,LV,41,47,,2024,nevada
The Hill/Emerson,2024/09/15,2024/09/18,895,LV,41,48,,2024,nevada
Noble Predictive Insights,2024/09/09,2024/09/16,692,LV,38,53,,2024,nevada
Trafalgar Group (R),2024/09/11,2024/09/13,1079,LV,40,48,,2024,nevada
InsiderAdvantage,2024/08/29,2024/08/31,800,LV,39,49,,2024,nevada
CNN,2024/08/23,2024/08/29,626,LV,40,50,,2024,nevada
The Hill/Emerson,2024/08/25,2024/08/28,1168,LV,40,50,,2024,nevada
FOX News,2024/08/23,2024/08/26,1026,RV,41,55,,2024,nevada
Rasmussen Reports,2024/08/13,2024/08/19,980,LV,39,50,,2024,nevada
NY Times/Siena,2024/08/12,2024/08/15,677,LV,40,49,,2024,nevada
Cook Political Report,2024/07/26,2024/08/02,403,LV,36,54,,2024,nevada
Rasmussen Reports,2024/07/05,2024/07/12,761,LV,42,45,,2024,nevada
The Times/SAY,2024/07/04,2024/07/12,800,RV,40,47,,2024,nevada
